GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__CAG-631	2	1	f__(o__Burkholderiales) 100.0%
f__GBS-1	2	1	f__(o__Burkholderiales) 100.0%
f__UBA12327	2	1	f__(o__Burkholderiales) 100.0%
f__Xiphinematobacteraceae	2	1	f__(o__Burkholderiales) 100.0%
f__Lenti-02	2	1	f__(o__Burkholderiales) 100.0%
f__DTU036	2	1	f__(o__Burkholderiales) 100.0%
f__Firm-18	2	1	f__(o__Burkholderiales) 100.0%
f__QAKW01	2	1	f__(o__Burkholderiales) 100.0%
f__Desulfuribacillaceae	2	1	f__(o__Burkholderiales) 100.0%
f__Labraceae	2	1	f__Xanthobacteraceae 100.0%
f__Streptomycetaceae_A	2	1	f__Streptomycetaceae 100.0%
f__GCA-900066905	2	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__AB1-6	2	1	f__(o__Burkholderiales) 100.0%
f__Marispirochaetaceae	2	1	f__Spirochaetaceae 100.0%
f__UBA12508	2	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-64-43	2	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-50-9b	2	1	f__(o__Burkholderiales) 100.0%
f__GWB1-36-13	2	1	f__(o__Burkholderiales) 100.0%
f__XYA2-FULL-39-19	2	1	f__(o__Burkholderiales) 100.0%
f__IGHO2-12-FULL-4	2	1	f__(o__Burkholderiales) 100.0%
f__GWA2-46-15	2	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-41-18	2	1	f__(o__Burkholderiales) 100.0%
f__XYD1-FULL-40-9	2	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-68-14	2	1	f__(o__Burkholderiales) 100.0%
f__H02-45-28	2	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-43-14	2	1	f__(o__Burkholderiales) 100.0%
f__C00003106	2	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-37-12	2	1	f__(o__Burkholderiales) 100.0%
f__Caenarcanaceae	2	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-48-14	2	1	f__(o__Burkholderiales) 100.0%
f__YB12-FULL-65-16	2	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-66-41	2	1	f__(o__Burkholderiales) 100.0%
f__33-17	2	1	f__(o__Burkholderiales) 100.0%
f__XYA2-FULL-43-10	2	1	f__(o__Burkholderiales) 100.0%
f__UBA10199	2	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-62-27	2	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-66-22	2	1	f__(o__Burkholderiales) 100.0%
f__GWF1-51-8	2	1	f__(o__Burkholderiales) 100.0%
f__GWE2-29-8	2	1	f__(o__Burkholderiales) 100.0%
f__Bacillaceae_M	2	1	f__Bacillaceae(o__Bacillales) 100.0%
f__2-12-FULL-54-10	2	1	f__(o__Burkholderiales) 100.0%
f__Psychrobiaceae	2	1	f__(o__Burkholderiales) 100.0%
f__UBA8481	2	1	f__(o__Burkholderiales) 100.0%
f__GWF2-38-69	2	1	f__(o__Burkholderiales) 100.0%
f__GWC2-42-11	2	1	f__(o__Burkholderiales) 100.0%
f__IGHO2-01-FULL-4-A	2	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-45-19	2	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-52-15	2	1	f__(o__Burkholderiales) 100.0%
f__UBA11373	2	1	f__(o__Burkholderiales) 100.0%
f__GWF2-45-14	2	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-50-11	2	1	f__(o__Burkholderiales) 100.0%
f__H02-43-30	2	1	f__(o__Burkholderiales) 100.0%
f__02-FULL-45-10c	2	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-64-13	2	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-51-18	2	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-64-16	2	1	f__(o__Burkholderiales) 100.0%
f__C00003060	2	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-42-11	2	1	f__(o__Burkholderiales) 100.0%
f__DSM-29158	2	1	f__Staphylococcaceae(o__Bacillales) 100.0%
f__Aminicenantaceae_A	2	1	f__(o__Burkholderiales) 100.0%
f__F11	2	1	f__(o__Burkholderiales) 100.0%
f__UBA8530	2	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-44-9	2	1	f__(o__Burkholderiales) 100.0%
f__Hydrothermaceae	2	1	f__(o__Burkholderiales) 100.0%
f__AABM5-25-91	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4093	2	1	f__(o__Burkholderiales) 100.0%
f__JdFR-78	2	1	f__(o__Burkholderiales) 100.0%
f__ZCTH02-B6	2	1	f__(o__Burkholderiales) 100.0%
f__4484-213	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002839825	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002723415	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5359	2	1	f__(o__Burkholderiales) 100.0%
f__UBA3054	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5297	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4473	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5214	2	1	f__(o__Burkholderiales) 100.0%
f__UBA994	2	1	f__(o__Burkholderiales) 100.0%
f__OSC116	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6098	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5177	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-00278855	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2985	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6927	2	1	f__(o__Burkholderiales) 100.0%
f__Bin125	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6532	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002793355	2	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-20-45-26	2	1	f__(o__Burkholderiales) 100.0%
f__PGXB01	2	1	f__(o__Burkholderiales) 100.0%
f__SMWR01	2	1	f__(o__Burkholderiales) 100.0%
f__UBA3636	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6930	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2247	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002748415	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6623	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002779355	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2251	2	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UM-FILTER-42-10	2	1	f__(o__Burkholderiales) 100.0%
f__UM-FILTER-43-11	2	1	f__(o__Burkholderiales) 100.0%
f__UBA8901	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4311	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1149	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1875	2	1	f__(o__Burkholderiales) 100.0%
f__0-14-0-80-42-15	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4661	2	1	f__(o__Burkholderiales) 100.0%
f__UBA3531	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5738	2	1	f__(o__Burkholderiales) 100.0%
f__UM-FILTER-49-7	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2196	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2029	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6729	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5368	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1188	2	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-10-42-19	2	1	f__(o__Burkholderiales) 100.0%
f__1-14-0-10-44-23	2	1	f__(o__Burkholderiales) 100.0%
f__UM-FILTER-48-10	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1234	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002705445	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2361	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6191	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6807	2	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UB4802	2	1	f__(o__Burkholderiales) 100.0%
f__UBA995	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4767	2	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UBA4811	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1977	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5072	2	1	f__(o__Burkholderiales) 100.0%
f__UBA3505	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1433	2	1	f__Eubacteriaceae(o__Clostridiales) 100.0%
f__UBA2166	2	1	f__Nitrospiraceae 100.0%
f__UBA6092	2	1	f__(o__Burkholderiales) 100.0%
f__UBA912	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5862	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002724215	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6187	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002791395	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1400	2	1	f__(o__Burkholderiales) 100.0%
f__UM-FILTER-53-11	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2174	2	1	f__Desulfobacteraceae 100.0%
f__UBA228	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1212	2	1	f__Hungateiclostridiaceae(o__Clostridiales) 100.0%
f__UBA3920	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1369	2	1	f__(o__Burkholderiales) 100.0%
f__DC0425bin3	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4092	2	1	f__(o__Burkholderiales) 100.0%
f__SG8-11	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2766	2	1	f__(o__Burkholderiales) 100.0%
f__UBA3375	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002787255	2	1	f__(o__Burkholderiales) 100.0%
f__CAG-382_A	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2135	2	1	f__(o__Burkholderiales) 100.0%
f__UBA1715	2	1	f__(o__Burkholderiales) 100.0%
f__UBA729	2	1	f__(o__Burkholderiales) 100.0%
f__NORP154	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002719095	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-2711565	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002704045	2	1	f__(o__Burkholderiales) 100.0%
f__UBA8898	2	1	f__(o__Burkholderiales) 100.0%
f__BM520	2	1	f__(o__Burkholderiales) 100.0%
f__UBA660	2	1	f__(o__Burkholderiales) 100.0%
f__UBA7656	2	1	f__(o__Burkholderiales) 100.0%
f__16-39-46	2	1	f__(o__Burkholderiales) 100.0%
f__UBA817	2	1	f__(o__Burkholderiales) 100.0%
f__0-14-0-80-60-11	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4181	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-2720935	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002753745	2	1	f__(o__Burkholderiales) 100.0%
f__UBA2392	2	1	f__(o__Burkholderiales) 100.0%
f__UBA5342	2	1	f__(o__Burkholderiales) 100.0%
f__UBA6821	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-002748355	2	1	f__(o__Burkholderiales) 100.0%
f__UBA7239	2	1	f__(o__Burkholderiales) 100.0%
f__UBA4408	2	1	f__(o__Burkholderiales) 100.0%
f__PEXW01	2	1	f__(o__Burkholderiales) 100.0%
f__GCA-2721975	2	1	f__(o__Burkholderiales) 100.0%
f__Reconcilibacillaceae	2	1	f__Paenibacillaceae(o__Bacillales) 100.0%
f__UBA2245	2	1	f__Desulfobacteraceae 100.0%
f__RUG350	2	1	f__(o__Burkholderiales) 100.0%
f__SZUA-365	2	1	f__(o__Burkholderiales) 100.0%
f__UBA9214	2	1	f__(o__Burkholderiales) 100.0%
f__SZUA-21	2	1	f__(o__Burkholderiales) 100.0%
f__SZUA-567	2	1	f__(o__Burkholderiales) 100.0%
f__FEN-979	2	1	f__(o__Burkholderiales) 100.0%
f__Gp7-AA6	2	1	f__(o__Burkholderiales) 100.0%
f__SZUA-161	2	1	f__(o__Burkholderiales) 100.0%
f__UBA10428	2	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1295	2	1	f__(o__Burkholderiales) 100.0%
f__Fen-1058	2	1	f__(o__Burkholderiales) 100.0%
f__SZUA-401	2	1	f__Desulfuromonadaceae 100.0%
f__SZUA-36	2	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1400	2	1	f__(o__Burkholderiales) 100.0%
f__UBA12223	2	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1104	2	1	f__(o__Burkholderiales) 100.0%
f__SW-4-49-11	2	1	f__(o__Burkholderiales) 100.0%
f__BMS3Abin05	2	1	f__(o__Burkholderiales) 100.0%
f__BMS3Bbin05	2	1	f__(o__Burkholderiales) 100.0%
f__QHCF01	2	1	f__(o__Burkholderiales) 100.0%
f__SZUA-6	2	1	f__(o__Burkholderiales) 100.0%
f__BMS3ABIN01	2	1	f__(o__Burkholderiales) 100.0%
f__BMS3Bbin08	2	1	f__(o__Burkholderiales) 100.0%
f__QS-5-54-17	2	1	f__(o__Burkholderiales) 100.0%
f__HRbin24	2	1	f__(o__Burkholderiales) 100.0%
f__UMGS1883	2	1	f__(o__Burkholderiales) 100.0%
f__B5-G15	2	1	f__(o__Burkholderiales) 100.0%
f__PWMZ01	2	1	f__(o__Burkholderiales) 100.0%
f__J090	2	1	f__(o__Burkholderiales) 100.0%
f__ATM1	2	1	f__(o__Burkholderiales) 100.0%
f__CSSED10-376	2	1	f__Halanaerobiaceae 100.0%
f__J111	2	1	f__(o__Burkholderiales) 100.0%
f__J042	2	1	f__(o__Burkholderiales) 100.0%
f__T1Sed10-126	2	1	f__(o__Burkholderiales) 100.0%
f__J045	2	1	f__(o__Burkholderiales) 100.0%
f__B13-G15	2	1	f__(o__Burkholderiales) 100.0%
f__PXCX01	2	1	f__(o__Burkholderiales) 100.0%
f__PWTM01	2	1	f__(o__Burkholderiales) 100.0%
f__B25-G16	2	1	f__(o__Burkholderiales) 100.0%
f__B12-G15	2	1	f__(o__Burkholderiales) 100.0%
f__B17-G16	2	1	f__(o__Burkholderiales) 100.0%
f__PXBB01	2	1	f__(o__Burkholderiales) 100.0%
f__QQVD01	2	1	f__(o__Burkholderiales) 100.0%
f__UBA8524	2	1	f__(o__Burkholderiales) 100.0%
f__QNYZ01	2	1	f__(o__Burkholderiales) 100.0%
f__UBA12178	2	1	f__(o__Burkholderiales) 100.0%
f__UBA12015	2	1	f__(o__Burkholderiales) 100.0%
f__QNZT01	2	1	f__Campylobacteraceae 100.0%
f__SURF-5	2	1	f__(o__Burkholderiales) 100.0%
f__PWNZ01	2	1	f__(o__Burkholderiales) 100.0%
f__B23-G16	2	1	f__(o__Burkholderiales) 100.0%
f__B3-LCP	2	1	f__(o__Burkholderiales) 100.0%
f__AC-14	2	1	f__(o__Burkholderiales) 100.0%
f__SXIK01	2	1	f__(o__Burkholderiales) 100.0%
f__Termititenacaceae	2	1	f__Candidatus Termititenacaceae 100.0%
f__B3-TA06	2	1	f__(o__Burkholderiales) 100.0%
f__SXRF01	2	1	f__(o__Burkholderiales) 100.0%
f__SYMT01	2	1	f__(o__Burkholderiales) 100.0%
f__N074bin48	2	1	f__(o__Burkholderiales) 100.0%
f__E44-bin15	2	1	f__(o__Burkholderiales) 100.0%
f__E44-bin32	2	1	f__(o__Burkholderiales) 100.0%
f__SMYD01	2	1	f__(o__Burkholderiales) 100.0%
f__QZLD01	2	1	f__(o__Burkholderiales) 100.0%
f__SORT01	2	1	f__(o__Burkholderiales) 100.0%
f__SKRI01	2	1	f__(o__Burkholderiales) 100.0%
f__SLMC01	2	1	f__(o__Burkholderiales) 100.0%
f__DSM25281	2	1	f__Bacillaceae 100.0%
f__AK92	2	1	f__Ectothiorhodospiraceae(o__Chromatiales) 100.0%
f__TS1B11	2	1	f__(o__Burkholderiales) 100.0%
f__DSM-24629	2	1	f__(o__Burkholderiales) 100.0%
f__Catenulisporaceae	2	2	f__Catenulisporaceae(o__Catenulisporales) 50.0%, f__Actinospicaceae(o__Catenulisporales) 50.0%
f__Magnetospiraceae	2	2	f__Rhodospirillaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__Vulgatibacteraceae	2	2	f__Vulgatibacteraceae 50.0%, f__(o__Burkholderiales) 50.0%
f__Acidothermaceae	2	2	f__Acidothermaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__Novibacillaceae	2	2	f__Bacillaceae(o__Bacillales) 50.0%, f__Thermoactinomycetaceae(o__Bacillales) 50.0%
f__HK1	2	2	f__Ectothiorhodospiraceae(o__Chromatiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Symbiobacteriaceae	2	2	f__Symbiobacteriaceae(o__Clostridiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__SM23-61	2	2	f__(o__Burkholderiales) 50.0%, f__Syntrophaceae(o__Syntrophobacterales) 50.0%
f__50-218	2	2	f__(o__Burkholderiales) 50.0%, f__Peptococcaceae(o__Clostridiales) 50.0%
f__54-24	2	2	f__(o__Burkholderiales) 50.0%, f__Synergistaceae 50.0%
f__Vicinamibacteraceae	2	2	f__(o__Burkholderiales) 50.0%, f__Vicinamibacteraceae(o__) 50.0%
f__Ga0077539	2	2	f__(o__Burkholderiales) 50.0%, f__Myxococcaceae(o__Myxococcales) 50.0%
f__Fastidiosipilaceae	2	2	f__(o__Burkholderiales) 50.0%, f__Hungateiclostridiaceae(o__Clostridiales) 50.0%
f__Phormidiaceae_A	2	2	f__Oscillatoriaceae(o__Oscillatoriales) 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA1247	2	2	f__(o__Burkholderiales) 50.0%, f__Rhodospirillaceae(o__Rhodospirillales) 50.0%
f__BM004	2	2	f__(o__Burkholderiales) 50.0%, f__Desulfobulbaceae(o__Desulfobacterales) 50.0%
f__Thermoflexaceae	2	2	f__Thermoflexaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__UTPRO1	2	2	f__Polyangiaceae(o__Myxococcales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Catalimonadaceae	2	2	f__Catalimonadaceae 50.0%, f__Cytophagaceae 50.0%
f__SK-Y3	2	2	f__Hungateiclostridiaceae(o__Clostridiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Bog-1112	2	2	f__Bdellovibrionaceae(o__Bdellovibrionales) 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA2394	2	2	f__Bacteriovoracaceae(o__Bacteriovoracales) 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA2780	2	2	f__Methylococcaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__GCA-2731375	2	2	f__(o__Burkholderiales) 50.0%, f__Rhodospirillaceae(o__Rhodospirillales) 50.0%
f__UBA6935	2	2	f__Bacteriovoracaceae(o__Bacteriovoracales) 50.0%, f__Bdellovibrionaceae(o__Bdellovibrionales) 50.0%
f__SP197	2	2	f__Rhodospirillaceae(o__Rhodospirillales) 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA2995	2	2	f__Opitutaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA5767	2	2	f__Peptococcaceae(o__Clostridiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA3575	2	2	f__(o__Burkholderiales) 50.0%, f__Clostridiaceae(o__Clostridiales) 50.0%
f__Bin18	2	2	f__Desulfurellaceae(o__Desulfurellales) 50.0%, f__(o__Burkholderiales) 50.0%
f__GCA-2722175	2	2	f__Rhodospirillaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__Abditibacteriaceae	2	2	f__Abitibacteriaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__Rhodobiaceae	2	2	f__Rhodobiaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__Gp1-AA117	2	2	f__Acidobacteriaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA9216	2	2	f__(o__Burkholderiales) 50.0%, f__Spirochaetaceae 50.0%
f__SZUA-545	2	2	f__Helicobacteraceae 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA8153	2	2	f__Clostridiales Family XVII. Incertae Sedis(o__Clostridiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__QOAS01	2	2	f__(o__Burkholderiales) 50.0%, f__Aquificaceae 50.0%
f__ETH-SRB1	2	2	f__(o__Burkholderiales) 50.0%, f__Desulfobacteraceae 50.0%
f__Poseidoniaceae	2	2	f__Rhodobiaceae(o__Rhizobiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Halothermotrichaceae	1	1	f__Halanaerobiaceae 100.0%
f__Catellicoccaceae	1	1	f__Enterococcaceae 100.0%
f__Desulfurisporaceae	1	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__Thermopetrobacteraceae	1	1	f__(o__Burkholderiales) 100.0%
f__Turneriellaceae	1	1	f__Leptospiraceae(o__Leptospirales) 100.0%
f__Leeiaceae	1	1	f__Chromobacteriaceae(o__Neisseriales) 100.0%
f__Clostridiisalibacteraceae	1	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__Neomegalonemataceae	1	1	f__Methylobacteriaceae(o__Rhizobiales) 100.0%
f__Desulfomonilaceae	1	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__Rubeoparvulaceae	1	1	f__Bacillaceae(o__Bacillales) 100.0%
f__Oscillatoriaceae_A	1	1	f__Oscillatoriaceae(o__Oscillatoriales) 100.0%
f__Mahellaceae	1	1	f__Thermoanaerobacterales Family IV. Incertae Sedis(o__Thermoanaerobacterales) 100.0%
f__IMCC26256	1	1	f__(o__Burkholderiales) 100.0%
f__Calditerricolaceae	1	1	f__Bacillaceae(o__Bacillales) 100.0%
f__Gloeocapsaceae	1	1	f__Chroococcaceae(o__Chroococcales) 100.0%
f__ZOR0006	1	1	f__(o__Burkholderiales) 100.0%
f__Phaeomarinobacteraceae	1	1	f__Rhodobiaceae(o__Rhizobiales) 100.0%
f__PCC-7407	1	1	f__Coleofasciculaceae(o__Oscillatoriales) 100.0%
f__Syntrophothermaceae	1	1	f__Syntrophomonadaceae(o__Clostridiales) 100.0%
f__Neosynechococcaceae	1	1	f__Leptolyngbyaceae(o__Synechococcales) 100.0%
f__HTCC5015	1	1	f__(o__Burkholderiales) 100.0%
f__Angustibacteraceae	1	1	f__Kineosporiaceae(o__Kineosporiales) 100.0%
f__PCC-7336	1	1	f__Synechococcaceae(o__Synechococcales) 100.0%
f__Succinispiraceae	1	1	f__Acidaminococcaceae 100.0%
f__Thermobaculaceae	1	1	f__(o__Burkholderiales) 100.0%
f__Desulfatiglandaceae	1	1	f__Desulfobacteraceae(o__Desulfobacterales) 100.0%
f__Caldisalinibacteraceae	1	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__SDB-A	1	1	f__Desulfuromonadaceae(o__Desulfuromonadales) 100.0%
f__DG-74-3	1	1	f__(o__Burkholderiales) 100.0%
f__CSP1-6	1	1	f__(o__Burkholderiales) 100.0%
f__DG-27	1	1	f__(o__Burkholderiales) 100.0%
f__GWA2-44-7	1	1	f__(o__Burkholderiales) 100.0%
f__SM23-28-2	1	1	f__(o__Burkholderiales) 100.0%
f__SG8-13	1	1	f__(o__Burkholderiales) 100.0%
f__SM23-81	1	1	f__(o__Burkholderiales) 100.0%
f__DG-60	1	1	f__Syntrophobacteraceae(o__Syntrophobacterales) 100.0%
f__GWA2-38-13	1	1	f__(o__Burkholderiales) 100.0%
f__SM23-73-2	1	1	f__(o__Burkholderiales) 100.0%
f__GWF2-32-72	1	1	f__(o__Burkholderiales) 100.0%
f__DG-23	1	1	f__(o__Burkholderiales) 100.0%
f__DG-74-1	1	1	f__(o__Burkholderiales) 100.0%
f__SM23-30	1	1	f__(o__Burkholderiales) 100.0%
f__GWA2-38-13b	1	1	f__(o__Burkholderiales) 100.0%
f__CSP1-3	1	1	f__(o__Burkholderiales) 100.0%
f__SM23-31	1	1	f__(o__Burkholderiales) 100.0%
f__Thiovulaceae	1	1	f__Helicobacteraceae 100.0%
f__OLB16	1	1	f__(o__Burkholderiales) 100.0%
f__OLB7	1	1	f__(o__Burkholderiales) 100.0%
f__Adiutricaceae	1	1	f__(o__Burkholderiales) 100.0%
f__PH28-bin88	1	1	f__(o__Burkholderiales) 100.0%
f__Massilibacteriaceae	1	1	f__Bacillaceae 100.0%
f__LBFQ01	1	1	f__(o__Burkholderiales) 100.0%
f__IMCC2047	1	1	f__(o__Burkholderiales) 100.0%
f__DTU087	1	1	f__(o__Burkholderiales) 100.0%
f__Aerophobaceae	1	1	f__(o__Burkholderiales) 100.0%
f__TCS52	1	1	f__(o__Burkholderiales) 100.0%
f__TCS56	1	1	f__(o__Burkholderiales) 100.0%
f__Omnitrophaceae	1	1	f__(o__Burkholderiales) 100.0%
f__DTU080	1	1	f__(o__Burkholderiales) 100.0%
f__Latescibacteraceae	1	1	f__(o__Burkholderiales) 100.0%
f__GBS-2	1	1	f__(o__Burkholderiales) 100.0%
f__Desulfofervidaceae	1	1	f__Candidatus Desulfofervidaceae(o__) 100.0%
f__MCWD3	1	1	f__(o__Burkholderiales) 100.0%
f__Thermosulfidibacteraceae	1	1	f__(o__Burkholderiales) 100.0%
f__Bacillaceae_O	1	1	f__Bacillaceae 100.0%
f__Dissulfuribacteraceae	1	1	f__(o__Burkholderiales) 100.0%
f__Bacillaceae_N	1	1	f__Bacillaceae 100.0%
f__GCA-001730085	1	1	f__(o__Burkholderiales) 100.0%
f__Mor1	1	1	f__(o__Burkholderiales) 100.0%
f__Pseudoxanthobacteraceae	1	1	f__Xanthobacteraceae 100.0%
f__Neosynechococcaceae_A	1	1	f__Leptolyngbyaceae(o__Synechococcales) 100.0%
f__Desulfoplanaceae	1	1	f__Desulfomicrobiaceae 100.0%
f__Geitlerinemaceae_A	1	1	f__Coleofasciculaceae(o__Oscillatoriales) 100.0%
f__UJ101	1	1	f__Flavobacteriaceae 100.0%
f__9FT-COMBO-42-15	1	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-46-11	1	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-59-12	1	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-40-12	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-57-12	1	1	f__(o__Burkholderiales) 100.0%
f__UBA4823_A	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-58-11	1	1	f__ 100.0%
f__2-12-FULL-38-22	1	1	f__(o__Burkholderiales) 100.0%
f__MHYJ01	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-64-22	1	1	f__(o__Burkholderiales) 100.0%
f__43-37	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-55-9	1	1	f__(o__Burkholderiales) 100.0%
f__MHMH01	1	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-41-13	1	1	f__(o__Burkholderiales) 100.0%
f__UBA8477	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-40-8-A	1	1	f__(o__Burkholderiales) 100.0%
f__AqS3	1	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-43-13	1	1	f__(o__Burkholderiales) 100.0%
f__GWC2-42-7-A	1	1	f__(o__Burkholderiales) 100.0%
f__WO2-01-48-18	1	1	f__(o__Burkholderiales) 100.0%
f__S7086C20	1	1	f__(o__Burkholderiales) 100.0%
f__AqS2	1	1	f__(o__Burkholderiales) 100.0%
f__O2-12-FULL-43-9	1	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-45-22	1	1	f__(o__Burkholderiales) 100.0%
f__9FT-COMBO-53-11	1	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-43-9	1	1	f__(o__Burkholderiales) 100.0%
