GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__Chromobacteriaceae	86	5	f__Chromobacteriaceae(o__Neisseriales) 90.7%, f__Neisseriaceae(o__Neisseriales) 5.81%, f__ 1.16%, f__Comamonadaceae 1.16%, f__Rhodobacteraceae(o__Rhodobacterales) 1.16%
f__Porticoccaceae	86	2	f__Porticoccaceae(o__Cellvibrionales) 65.12%, f__(o__Burkholderiales) 34.88%
f__Acidaminococcaceae	85	3	f__Acidaminococcaceae 84.71%, f__(o__Burkholderiales) 14.12%, f__Carnobacteriaceae(o__Lactobacillales) 1.18%
f__Acholeplasmataceae	85	2	f__Acholeplasmataceae 80.0%, f__(o__Burkholderiales) 20.0%
f__Dormibacteraceae	84	1	f__(o__Burkholderiales) 100.0%
f__Hymenobacteraceae	84	2	f__Hymenobacteraceae 98.81%, f__(o__Burkholderiales) 1.19%
f__Helcococcaceae	84	5	f__Peptoniphilaceae 89.29%, f__(o__Burkholderiales) 7.14%, f__Peptostreptococcaceae(o__Clostridiales) 1.19%, f__Clostridiales Family XIII. Incertae Sedis(o__Clostridiales) 1.19%, f__Erysipelotrichaceae(o__Erysipelotrichales) 1.19%
f__Halieaceae	83	3	f__Halieaceae(o__Cellvibrionales) 89.16%, f__(o__Burkholderiales) 9.64%, f__Alteromonadaceae(o__Alteromonadales) 1.2%
f__Stappiaceae	82	3	f__Rhodobacteraceae(o__Rhodobacterales) 95.12%, f__(o__Burkholderiales) 2.44%, f__Cohaesibacteraceae 2.44%
f__Nitrospiraceae	82	3	f__Nitrospiraceae 76.83%, f__(o__Burkholderiales) 19.51%, f__Nitrosomonadaceae(o__Nitrosomonadales) 3.66%
f__Thioglobaceae	81	1	f__(o__Burkholderiales) 100.0%
f__CAG-138	79	4	f__(o__Burkholderiales) 77.22%, f__Clostridiaceae(o__Clostridiales) 10.13%, f__Catabacteriaceae(o__Clostridiales) 10.13%, f__Christensenellaceae(o__Clostridiales) 2.53%
f__Bacteriovoracaceae	78	4	f__Bacteriovoracaceae 41.03%, f__(o__Burkholderiales) 28.21%, f__Halobacteriovoraceae 25.64%, f__Bdellovibrionaceae(o__Bdellovibrionales) 5.13%
