GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__2-01-FULL-50-23 sp001774555	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10449 sp001917895	2	1	s__(g__Flavobacterium) 100.0%
s__UBA6899 sp001821395	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-44-16 sp001798185	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10199 sp001797365	2	1	s__(g__Flavobacterium) 100.0%
s__Cellulomonas sp001898185	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1568 sp001784735	2	1	s__(g__Flavobacterium) 100.0%
s__O2-02-FULL-42-17 sp001786095	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-62-27 sp001784175	2	1	s__(g__Flavobacterium) 100.0%
s__Peribacter sp001872575	2	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-66-30 sp001775755	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-35-15 sp001784585	2	1	s__(g__Flavobacterium) 100.0%
s__CAG-269 sp001916035	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-66-22 sp001771285	2	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-36-15b sp001782035	2	1	s__(g__Flavobacterium) 100.0%
s__O2-01-FULL-48-27b sp001824915	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12489 sp003477305	2	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-46-19 sp001872925	2	1	s__(g__Flavobacterium) 100.0%
s__XYB1-FULL-42-16 sp001823055	2	1	s__(g__Flavobacterium) 100.0%
s__3-1-20CM-3-53-8 sp001920415	2	1	s__(g__Flavobacterium) 100.0%
s__GWC2-65-14 sp001797615	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1573 sp001767915	2	1	s__(g__Flavobacterium) 100.0%
s__GWE2-29-8 sp001768555	2	1	s__(g__Flavobacterium) 100.0%
s__GWA2-49-15 sp001769855	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9980 sp001791795	2	1	s__(g__Flavobacterium) 100.0%
s__XYD2-FULL-39-9 sp001783215	2	1	s__(g__Flavobacterium) 100.0%
s__HO2-49-34 sp001783515	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9959 sp001799615	2	1	s__(g__Flavobacterium) 100.0%
s__UBA6899 sp001819095	2	1	s__(g__Flavobacterium) 100.0%
s__40CM-4-69-5 sp001917535	2	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-33-31 sp001872625	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9959 sp001799995	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12037 sp003527485	2	1	s__(g__Flavobacterium) 100.0%
s__UBA5619 sp001829875	2	1	s__(g__Flavobacterium) 100.0%
s__Gp22-AA3 sp003223135	2	1	s__(g__Flavobacterium) 100.0%
s__43-108 sp001915545	2	1	s__(g__Flavobacterium) 100.0%
s__XYD1-FULL-39-28 sp001822095	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10166 sp001799695	2	1	s__(g__Flavobacterium) 100.0%
s__WO2-44-18 sp001817915	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-58-16 sp001830425	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-41-22 sp001789805	2	1	s__(g__Flavobacterium) 100.0%
s__UBA8481 sp002780065	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1573 sp001871905	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-58-14 sp001824745	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9579 sp001784615	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10103 sp001781175	2	1	s__(g__Flavobacterium) 100.0%
s__GWA1-54-10 sp001773575	2	1	s__(g__Flavobacterium) 100.0%
s__GWF2-38-69 sp001803205	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-65-11 sp001767495	2	1	s__(g__Flavobacterium) 100.0%
s__UBA5004 sp001825155	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10151 sp001777455	2	1	s__(g__Flavobacterium) 100.0%
s__WO2-47-17b sp001793865	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-45-33 sp001778595	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1550 sp001871765	2	1	s__(g__Flavobacterium) 100.0%
s__Polynucleobacter sp001830325	2	1	s__(g__Flavobacterium) 100.0%
s__CAG-349 sp001940895	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-40-13 sp001789645	2	1	s__(g__Flavobacterium) 100.0%
s__XYB1-FULL-32-11 sp001820485	2	1	s__(g__Flavobacterium) 100.0%
s__GWC2-42-12 sp001778055	2	1	s__(g__Flavobacterium) 100.0%
s__GWC2-42-11 sp001797495	2	1	s__(g__Flavobacterium) 100.0%
s__O2-FULL-52-10 sp001805645	2	1	s__(g__Flavobacterium) 100.0%
s__2-02-FULL-53-10 sp001791035	2	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-45-10b sp001804205	2	1	s__(g__Flavobacterium) 100.0%
s__Mucilaginibacter sp001898335	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-48-16 sp001823155	2	1	s__(g__Flavobacterium) 100.0%
s__UBA6024 sp003537645	2	1	s__(g__Flavobacterium) 100.0%
s__Arenimonas sp003497545	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-48-14 sp001822835	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-39-33 sp001817505	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-52-15 sp001818365	2	1	s__(g__Flavobacterium) 100.0%
s__XYD2-FULL-41-16 sp001828645	2	1	s__(g__Flavobacterium) 100.0%
s__RBG-16-34-14 sp001802795	2	1	s__(g__Flavobacterium) 100.0%
s__UBA6244 sp001769215	2	1	s__(g__Flavobacterium) 100.0%
s__XYD1-37-29 sp001818495	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-40-10 sp001784725	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-43-22 sp001795615	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9959 sp001799895	2	1	s__(g__Flavobacterium) 100.0%
s__GWA2-73-35 sp001790205	2	1	s__(g__Flavobacterium) 100.0%
s__Desulfobacula sp001799395	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12499 sp001788395	2	1	s__(g__Flavobacterium) 100.0%
s__O2-12-FULL-44-13 sp001817765	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1568 sp001784695	2	1	s__(g__Flavobacterium) 100.0%
s__HO2-37-13b sp001789395	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-50-28 sp001816585	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12454 sp001825665	2	1	s__(g__Flavobacterium) 100.0%
s__Sphingobium sp002312805	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-68-19 sp001767195	2	1	s__(g__Flavobacterium) 100.0%
s__Hylemonella sp001797315	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12481 sp001769295	2	1	s__(g__Flavobacterium) 100.0%
s__51-20 sp001917175	2	1	s__(g__Flavobacterium) 100.0%
s__O2-12-FULL-27-8 sp001796155	2	1	s__(g__Flavobacterium) 100.0%
s__UBA8950 sp001872455	2	1	s__(g__Flavobacterium) 100.0%
s__CG10-46-32 sp001889965	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9732 sp001940825	2	1	s__(g__Flavobacterium) 100.0%
s__MFSY01 sp001785175	2	1	s__(g__Flavobacterium) 100.0%
s__2-01-FULL-40-13 sp001789635	2	1	s__(g__Flavobacterium) 100.0%
s__2-12-FULL-52-36 sp001828545	2	1	s__(g__Flavobacterium) 100.0%
s__UBA2262 sp003517965	2	1	s__(g__Flavobacterium) 100.0%
s__CG1-02-41-26 sp002773545	2	1	s__(g__Flavobacterium) 100.0%
s__Paceibacter sp001872265	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10183 sp003485765	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12420 sp003452395	2	1	s__(g__Flavobacterium) 100.0%
s__Rhodoferax sp002786915	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudobdellovibrio sp001771815	2	1	s__(g__Flavobacterium) 100.0%
s__01-FULL-44-24b sp001793235	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12420 sp001795385	2	1	s__(g__Flavobacterium) 100.0%
s__GWF2-57-35 sp001804865	2	1	s__(g__Flavobacterium) 100.0%
s__O2-01-FULL-39-8 sp001789355	2	1	s__(g__Flavobacterium) 100.0%
s__HO2-43-30 sp001819985	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1550 sp001825115	2	1	s__(g__Flavobacterium) 100.0%
s__Dyadobacter sp001898145	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12465 sp001871165	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12402 sp001801305	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10029 sp001767575	2	1	s__(g__Flavobacterium) 100.0%
s__XYB1-40-15 sp001783185	2	1	s__(g__Flavobacterium) 100.0%
s__C7867-002 sp001822575	2	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp001800905	2	1	s__ 100.0%
s__13-1-40CM-70-15 sp003223415	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1568 sp002790675	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10103 sp001781105	2	1	s__(g__Flavobacterium) 100.0%
s__Roseibium sp001890945	2	1	s__(g__Flavobacterium) 100.0%
s__Citrifermentans sp003499925	2	1	s__(g__Flavobacterium) 100.0%
s__CG2-30-36-16 sp001873185	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12454 sp001825675	2	1	s__(g__Flavobacterium) 100.0%
s__UBA1049 sp003452915	2	1	s__(g__Flavobacterium) 100.0%
s__CAG-269 sp001916005	2	1	s__(g__Flavobacterium) 100.0%
s__Lysobacter sp001830245	2	1	s__(g__Flavobacterium) 100.0%
s__Winogradskyella sp002163855	2	1	s__(g__Flavobacterium) 100.0%
s__Mycetocola_B reblochoni	2	1	s__Mycetocola reblochoni 100.0%
s__Aulosira sp002154725	2	1	s__(g__Flavobacterium) 100.0%
s__Bordetella_C sp002119725	2	1	s__(g__Flavobacterium) 100.0%
s__Pandoraea sp002179965	2	1	s__(g__Flavobacterium) 100.0%
s__UBA3382 sp002159555	2	1	s__(g__Flavobacterium) 100.0%
s__Mycetohabitans sp900155955	2	1	s__(g__Flavobacterium) 100.0%
s__Gilliamella sp002142215	2	1	s__(g__Flavobacterium) 100.0%
s__Faecalibacterium sp002160915	2	1	s__(g__Flavobacterium) 100.0%
s__Spirosoma sp002006735	2	1	s__(g__Flavobacterium) 100.0%
s__Sellimonas sp002159995	2	1	s__(g__Flavobacterium) 100.0%
s__Bartonella sp002022665	2	1	s__(g__Flavobacterium) 100.0%
s__TM7x sp000803625	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp002113045	2	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus sp001955535	2	1	s__(g__Flavobacterium) 100.0%
s__Deinococcus sp002017875	2	1	s__(g__Flavobacterium) 100.0%
s__Nocardioides sp002117935	2	1	s__(g__Flavobacterium) 100.0%
s__An172 sp002160515	2	1	s__(g__Flavobacterium) 100.0%
s__Acidovorax_B sp002176815	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp001954195	2	1	s__(g__Flavobacterium) 100.0%
s__Acetobacter sp002153485	2	1	s__(g__Flavobacterium) 100.0%
s__Carnobacterium_A iners	2	1	s__Carnobacterium iners 100.0%
s__Sulfurospirillum sp002162315	2	1	s__(g__Flavobacterium) 100.0%
s__Enterococcus_A sp002140655	2	1	s__(g__Flavobacterium) 100.0%
s__Rhizobium sp002211305	2	1	s__(g__Flavobacterium) 100.0%
s__Secundilactobacillus pentosiphilus	2	1	s__Lactobacillus pentosiphilus 100.0%
s__Bordetella_C sp002209485	2	1	s__(g__Flavobacterium) 100.0%
s__F0540 sp900167505	2	1	s__(g__Flavobacterium) 100.0%
s__Acinetobacter sp002165295	2	1	s__(g__Flavobacterium) 100.0%
s__Companilactobacillus allii	2	1	s__Lactobacillus allii 100.0%
s__Bacillus_A cereus_AG	2	1	s__Bacillus cereus 100.0%
s__Microbacterium sp900163665	2	1	s__(g__Flavobacterium) 100.0%
s__Colwellia_A chukchiensis	2	1	s__Colwellia chukchiensis 100.0%
s__Pseudomonas_E sp001945445	2	1	s__(g__Flavobacterium) 100.0%
s__Flavonifractor sp002159175	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E migulae	2	1	s__Pseudomonas migulae 100.0%
s__Blautia sp002161285	2	1	s__(g__Flavobacterium) 100.0%
s__HCH-1 sp001541255	2	1	s__(g__Flavobacterium) 100.0%
s__Achromobacter sp900156745	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E reinekei	2	1	s__Pseudomonas reinekei 100.0%
s__Rhizobium sp002117485	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E alcaligenes_A	2	1	s__Pseudomonas alcaligenes 100.0%
s__Pseudomonas_E antarctica	2	1	s__Pseudomonas antarctica 100.0%
s__Ensifer sp002002725	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp002113125	2	1	s__(g__Flavobacterium) 100.0%
s__Rodentibacter sp001999285	2	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp900129855	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_W sp900177675	2	1	s__(g__Flavobacterium) 100.0%
s__Bosea sp900156025	2	1	s__(g__Flavobacterium) 100.0%
s__Nitrospira sp900078535	2	1	s__(g__Flavobacterium) 100.0%
s__Colwellia_A aestuarii	2	1	s__Colwellia aestuarii 100.0%
s__Chelonobacter testudinis	2	1	s__Pasteurella testudinis 100.0%
s__Mycobacterium terrae	2	1	s__Mycolicibacter terrae 100.0%
s__Clavibacter tessellarius	2	1	s__Clavibacter michiganensis 100.0%
s__Lysinibacillus sp002237755	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium parafortuitum	2	1	s__Mycolicibacterium parafortuitum 100.0%
s__Prochlorococcus_A sp002026005	2	1	s__(g__Flavobacterium) 100.0%
s__Halomonas sp900163645	2	1	s__(g__Flavobacterium) 100.0%
s__Ochrobactrum_B sp900465685	2	1	s__(g__Flavobacterium) 100.0%
s__Erysipelatoclostridium sp002160495	2	1	s__(g__Flavobacterium) 100.0%
s__Poseidonibacter sp001956695	2	1	s__(g__Flavobacterium) 100.0%
s__Neisseria sp002216145	2	1	s__(g__Flavobacterium) 100.0%
s__Mycoplasmopsis_B agassizii	2	1	s__Mycoplasma agassizii 100.0%
s__Polaribacter sp002005425	2	1	s__(g__Flavobacterium) 100.0%
s__Rhodobacter_C vinaykumarii	2	1	s__Rhodobacter vinaykumarii 100.0%
s__Anaerobutyricum sp900016875	2	1	s__(g__Flavobacterium) 100.0%
s__Achromobacter xylosoxidans_C	2	1	s__Achromobacter xylosoxidans 100.0%
s__Pigmentiphaga sp002188635	2	1	s__(g__Flavobacterium) 100.0%
s__Prochlorococcus_A sp002025865	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E flavescens	2	1	s__Pseudomonas flavescens 100.0%
s__Streptococcus oralis_E	2	1	s__Streptococcus oralis 100.0%
s__Microbacterium sp900156435	2	1	s__(g__Flavobacterium) 100.0%
s__Methylocaldum sp002005105	2	1	s__(g__Flavobacterium) 100.0%
s__Janthinobacterium sp002002885	2	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp002188365	2	1	s__(g__Flavobacterium) 100.0%
s__Halomonas sp003031405	2	1	s__(g__Flavobacterium) 100.0%
s__Natronoflexus saponilacus	2	1	s__Alkalitalea saponilacus 100.0%
s__Psychrobacter sp900168255	2	1	s__(g__Flavobacterium) 100.0%
s__Bartonella apis_A	2	1	s__Bartonella apis 100.0%
s__Kaistella sp002205795	2	1	s__(g__Flavobacterium) 100.0%
s__Streptococcus mitis_Y	2	1	s__Streptococcus mitis 100.0%
s__Burkholderia mesoacidophila	2	1	s__[Pseudomonas] mesoacidophila 100.0%
s__Mycobacterium sp001954275	2	1	s__(g__Flavobacterium) 100.0%
s__Anaeromassilibacillus sp002159845	2	1	s__(g__Flavobacterium) 100.0%
s__Desulfovibrio sp002159665	2	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium boenickei	2	1	s__Mycolicibacterium boenickei 100.0%
s__Haematobacter sp002196855	2	1	s__(g__Flavobacterium) 100.0%
s__Ornithinimicrobium sp001942405	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-2691145 sp002691145	2	1	s__(g__Flavobacterium) 100.0%
s__4484-232 sp002084985	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-2689925 sp002689925	2	1	s__(g__Flavobacterium) 100.0%
s__59-46-T64 sp003205515	2	1	s__(g__Flavobacterium) 100.0%
s__TMED126 sp002701605	2	1	s__(g__Flavobacterium) 100.0%
s__Rubripirellula sp002689655	2	1	s__(g__Flavobacterium) 100.0%
s__Epulopiscium_A sp001983455	2	1	s__(g__Flavobacterium) 100.0%
s__TMED80 sp002170405	2	1	s__(g__Flavobacterium) 100.0%
s__MB11C04 sp002171765	2	1	s__(g__Flavobacterium) 100.0%
s__TMED-70 sp002171675	2	1	s__(g__Flavobacterium) 100.0%
s__MED660 sp002691025	2	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_AK sp900185645	2	1	s__(g__Flavobacterium) 100.0%
s__TMED54 sp002691795	2	1	s__(g__Flavobacterium) 100.0%
s__UBA2883 sp002103075	2	1	s__(g__Flavobacterium) 100.0%
s__UBA8316 sp002711215	2	1	s__(g__Flavobacterium) 100.0%
s__TMED131 sp002689905	2	1	s__(g__Flavobacterium) 100.0%
s__TMED88 sp002171515	2	1	s__(g__Flavobacterium) 100.0%
s__Spiroplasma_A clarkii	2	1	s__Spiroplasma clarkii 100.0%
s__UBA8530 sp003503675	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-2691245 sp002167215	2	1	s__(g__Flavobacterium) 100.0%
s__UBA10656 sp002085445	2	1	s__(g__Flavobacterium) 100.0%
s__Epulopiscium_C sp001994995	2	1	s__(g__Flavobacterium) 100.0%
s__UBA7694 sp002482705	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9145 sp002172295	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-2689605 sp002689605	2	1	s__(g__Flavobacterium) 100.0%
s__UBA8653 sp002168105	2	1	s__(g__Flavobacterium) 100.0%
s__TMED211 sp002169685	2	1	s__(g__Flavobacterium) 100.0%
s__UBA7985 sp002700865	2	1	s__(g__Flavobacterium) 100.0%
s__TMED62 sp002170595	2	1	s__(g__Flavobacterium) 100.0%
s__MedAcidi-G2A sp002171605	2	1	s__(g__Flavobacterium) 100.0%
s__Hydrothermus pacificus	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-002691585 sp002690495	2	1	s__(g__Flavobacterium) 100.0%
s__UBA8087 sp002171655	2	1	s__(g__Flavobacterium) 100.0%
s__MedAcidi-G2A sp002713485	2	1	s__(g__Flavobacterium) 100.0%
s__Desulfobacca_B sp002049795	2	1	s__(g__Flavobacterium) 100.0%
s__MED-G52 sp002171355	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-2716345 sp002716345	2	1	s__(g__Flavobacterium) 100.0%
s__MB11C04 sp002167605	2	1	s__(g__Flavobacterium) 100.0%
s__UBA4093 sp002083825	2	1	s__(g__Flavobacterium) 100.0%
s__HIMB114 sp002692055	2	1	s__(g__Flavobacterium) 100.0%
s__UBA9145 sp002691885	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12014 sp002690755	2	1	s__(g__Flavobacterium) 100.0%
s__MED-G17 sp002457675	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-002690875 sp002689325	2	1	s__(g__Flavobacterium) 100.0%
s__UBA3072 sp002215665	2	1	s__(g__Flavobacterium) 100.0%
s__Thioglobus sp002169705	2	1	s__(g__Flavobacterium) 100.0%
s__HIMB100 sp002700485	2	1	s__(g__Flavobacterium) 100.0%
s__TMED23 sp002168115	2	1	s__(g__Flavobacterium) 100.0%
s__Litoricola sp002705325	2	1	s__(g__Flavobacterium) 100.0%
s__UBA11891 sp003533785	2	1	s__(g__Flavobacterium) 100.0%
s__Cycloclasticus sp002162695	2	1	s__(g__Flavobacterium) 100.0%
s__Litoricola sp002705795	2	1	s__(g__Flavobacterium) 100.0%
s__TMED13 sp002167825	2	1	s__(g__Flavobacterium) 100.0%
s__UBA8316 sp002390455	2	1	s__(g__Flavobacterium) 100.0%
s__UBA3571 sp002011425	2	1	s__(g__Flavobacterium) 100.0%
s__TMED48 sp002692165	2	1	s__(g__Flavobacterium) 100.0%
s__TMED6 sp002167465	2	1	s__(g__Flavobacterium) 100.0%
s__TMED25 sp002704755	2	1	s__(g__Flavobacterium) 100.0%
s__JdFR-78 sp002010665	2	1	s__(g__Flavobacterium) 100.0%
s__Ponticaulis sp002173095	2	1	s__(g__Flavobacterium) 100.0%
s__Alteromonas sp002691125	2	1	s__(g__Flavobacterium) 100.0%
s__Micrococcus luteus_A	2	1	s__Micrococcus luteus 100.0%
s__TMED167 sp002170915	2	1	s__(g__Flavobacterium) 100.0%
s__Luminiphilus sp003331335	2	1	s__(g__Flavobacterium) 100.0%
s__UA16 sp002448555	2	1	s__(g__Flavobacterium) 100.0%
s__Henriciella sp002172915	2	1	s__(g__Flavobacterium) 100.0%
s__TMED96 sp002171475	2	1	s__(g__Flavobacterium) 100.0%
s__TMED48 sp002689135	2	1	s__(g__Flavobacterium) 100.0%
s__GCA-002707905 sp002691365	2	1	s__(g__Flavobacterium) 100.0%
s__TMED108 sp002172545	2	1	s__(g__Flavobacterium) 100.0%
s__Synechococcus_E sp002700765	2	1	s__(g__Flavobacterium) 100.0%
s__Luminiphilus sp002689915	2	1	s__(g__Flavobacterium) 100.0%
s__UBA7985 sp002711265	2	1	s__(g__Flavobacterium) 100.0%
s__MED-G09 sp003279705	2	1	s__(g__Flavobacterium) 100.0%
s__Synechococcus_E sp002691345	2	1	s__(g__Flavobacterium) 100.0%
s__UBA11654 sp002691465	2	1	s__(g__Flavobacterium) 100.0%
s__UBA12191 sp002691835	2	1	s__(g__Flavobacterium) 100.0%
s__UBA7377 sp002170395	2	1	s__(g__Flavobacterium) 100.0%
s__Lysobacter_B sp002798275	2	1	s__(g__Flavobacterium) 100.0%
s__Pusillimonas_A sp002236805	2	1	s__(g__Flavobacterium) 100.0%
s__Leptospira_A harrisiae	2	1	s__Leptospira harrisiae 100.0%
s__Leptospira_B hartskeerlii	2	1	s__Leptospira hartskeerlii 100.0%
s__Bacillus_A sp900116295	2	1	s__(g__Flavobacterium) 100.0%
s__Butyrivibrio sp900116875	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp900109995	2	1	s__(g__Flavobacterium) 100.0%
s__Halomonas_C xianhensis	2	1	s__Halomonas xianhensis 100.0%
s__Marseille-P4683 sp900232885	2	1	s__(g__Flavobacterium) 100.0%
s__Kitasatospora sp900199205	2	1	s__(g__Flavobacterium) 100.0%
s__Vibrio sp002608565	2	1	s__(g__Flavobacterium) 100.0%
s__Sporomusa_C acidovorans	2	1	s__Sporomusa acidovorans 100.0%
s__Idiomarina sp002808045	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudoxanthomonas_A sp900116385	2	1	s__(g__Flavobacterium) 100.0%
s__Leptospira_B haakeii	2	1	s__Leptospira haakeii 100.0%
s__Kitasatospora sp002813165	2	1	s__(g__Flavobacterium) 100.0%
s__Limnohabitans sp002778315	2	1	s__(g__Flavobacterium) 100.0%
s__Amycolatopsis sp002849735	2	1	s__(g__Flavobacterium) 100.0%
s__Sphingobacterium sp002734245	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E arsenicoxydans	2	1	s__Pseudomonas arsenicoxydans 100.0%
s__NML-160184 sp002250475	2	1	s__(g__Flavobacterium) 100.0%
s__GCF1875585 sp001298715	2	1	s__(g__Flavobacterium) 100.0%
s__Emcibacter_A congregatus	2	1	s__Emcibacter congregatus 100.0%
s__Leptospira_B perolatii	2	1	s__Leptospira perolatii 100.0%
s__Pseudomonas_E sp002356535	2	1	s__(g__Flavobacterium) 100.0%
s__Cohnella sp003001675	2	1	s__(g__Flavobacterium) 100.0%
s__Microbacterium sp002812725	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudobutyrivibrio sp900100545	2	1	s__(g__Flavobacterium) 100.0%
s__Acinetobacter junii_A	2	1	s__Acinetobacter tandoii 100.0%
s__Niveispirillum sp900188385	2	1	s__(g__Flavobacterium) 100.0%
s__Orenia metallireducens_B	2	1	s__Orenia metallireducens 100.0%
s__Mycoplasmopsis_B testudinea	2	1	s__Mycoplasma testudineum 100.0%
s__Bacillus_AW sp002556365	2	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900110085	2	1	s__(g__Flavobacterium) 100.0%
s__Duganella sp900100205	2	1	s__(g__Flavobacterium) 100.0%
s__Rhodococcus sp002258315	2	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus sp002264395	2	1	s__(g__Flavobacterium) 100.0%
s__D5 sp900113995	2	1	s__(g__Flavobacterium) 100.0%
s__Nitrosomonas sp900100485	2	1	s__(g__Flavobacterium) 100.0%
s__Leifsonia sp900114565	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp900113505	2	1	s__(g__Flavobacterium) 100.0%
s__ATCC-39006 sp002847015	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_A cereus_AQ	2	1	s__Bacillus cereus 100.0%
s__Glutamicibacter sp002332285	2	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_W sp002585305	2	1	s__(g__Flavobacterium) 100.0%
s__Virgibacillus_G profundi	2	1	s__Virgibacillus profundi 100.0%
s__Bacillus_A cereus_AK	2	1	s__Bacillus cereus 100.0%
s__Pelagimonas phthalicica	2	1	s__Tropicibacter phthalicicus 100.0%
s__Streptomyces sp900290235	2	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp900187615	2	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900115435	2	1	s__(g__Flavobacterium) 100.0%
s__Leptospira_A brenneri	2	1	s__Leptospira brenneri 100.0%
s__CL95 sp900115925	2	1	s__(g__Flavobacterium) 100.0%
s__2013Ark19i sp001460935	2	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira sp900110495	2	1	s__(g__Flavobacterium) 100.0%
s__Tardiphaga sp900114605	2	1	s__(g__Flavobacterium) 100.0%
s__Pedobacter sp900100435	2	1	s__(g__Flavobacterium) 100.0%
s__Nissabacter sp002858715	2	1	s__(g__Flavobacterium) 100.0%
s__Acidovorax_A cattleyae	2	1	s__Acidovorax cattleyae 100.0%
s__Fibrobacter_A sp002797675	2	1	s__(g__Flavobacterium) 100.0%
s__Williamsoniiplasma freundtii	2	1	s__Entomoplasma freundtii 100.0%
s__Pseudomonas_E sp002803095	2	1	s__(g__Flavobacterium) 100.0%
s__Luteibacter sp900110505	2	1	s__(g__Flavobacterium) 100.0%
s__Bordetella sp002261335	2	1	s__(g__Flavobacterium) 100.0%
s__Janthinobacterium sp002797895	2	1	s__(g__Flavobacterium) 100.0%
s__Chitinimonas sp002735695	2	1	s__(g__Flavobacterium) 100.0%
s__Bradyrhizobium sp002776695	2	1	s__(g__Flavobacterium) 100.0%
s__Variovorax sp002754375	2	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp002754315	2	1	s__ 100.0%
s__Prevotella sp900199655	2	1	s__(g__Flavobacterium) 100.0%
