GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Staphylococcus capitis	82	2	s__Staphylococcus capitis 87.8%, s__(g__Flavobacterium) 12.2%
s__Vibrio crassostreae	79	2	s__Vibrio crassostreae 81.01%, s__(g__Flavobacterium) 18.99%
s__Xanthomonas vasicola	78	2	s__Xanthomonas vasicola 85.9%, s__Xanthomonas campestris 14.1%
s__Parabacteroides distasonis	78	2	s__Parabacteroides distasonis 64.1%, s__(g__Flavobacterium) 35.9%
s__Vibrio cyclitrophicus	76	3	s__Vibrio cyclitrophicus 97.37%, s__Vibrio lentus 1.32%, s__(g__Flavobacterium) 1.32%
s__Listeria monocytogenes_C	75	1	s__Listeria monocytogenes 100.0%
s__Aeromonas hydrophila	75	2	s__Aeromonas hydrophila 96.0%, s__(g__Flavobacterium) 4.0%
s__Xanthomonas arboricola	74	2	s__Xanthomonas arboricola 81.08%, s__Xanthomonas campestris 18.92%
s__Staphylococcus simulans	74	3	s__Staphylococcus simulans 81.08%, s__(g__Flavobacterium) 17.57%, s__Staphylococcus hyicus 1.35%
s__Mycoplasmopsis bovis	73	1	s__Mycoplasma bovis 100.0%
s__Treponema pallidum	73	2	s__Treponema pallidum 98.63%, s__Treponema paraluiscuniculi 1.37%
s__Escherichia albertii	73	2	s__Escherichia albertii 98.63%, s__Escherichia coli 1.37%
s__Pseudomonas_E tremae	73	3	s__Pseudomonas coronafaciens 95.89%, s__Pseudomonas syringae 2.74%, s__Pseudomonas tremae 1.37%
s__Bacillus_A nitratireducens	72	4	s__Bacillus cereus 95.83%, s__Bacillus nitratireducens 1.39%, s__Bacillus mycoides 1.39%, s__(g__Flavobacterium) 1.39%
s__Leclercia adecarboxylata	70	2	s__Leclercia adecarboxylata 97.14%, s__(g__Flavobacterium) 2.86%
s__Akkermansia muciniphila	70	2	s__Akkermansia muciniphila 94.29%, s__(g__Flavobacterium) 5.71%
s__Bacillus_A mycoides	70	4	s__Bacillus mycoides 65.71%, s__Bacillus cereus 22.86%, s__(g__Flavobacterium) 10.0%, s__Bacillus thuringiensis 1.43%
s__Lactobacillus delbrueckii	69	2	s__Lactobacillus delbrueckii 98.55%, s__(g__Flavobacterium) 1.45%
s__Rickettsia rickettsii	69	14	s__Rickettsia japonica 49.28%, s__Rickettsia rickettsii 17.39%, s__Rickettsia parkeri 7.25%, s__Rickettsia conorii 5.8%, s__Rickettsia sibirica 4.35%, s__Rickettsia slovaca 2.9%, s__(g__Flavobacterium) 2.9%, s__Rickettsia philipii 1.45%, s__Rickettsia argasii 1.45%, s__Rickettsia honei 1.45%, s__Rickettsia heilongjiangensis 1.45%, s__Rickettsia africae 1.45%, s__Rickettsia peacockii 1.45%, s__Rickettsia fournieri 1.45%
