GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__Gemmatimonadales	99	2	o__(c__Tissierellia) 89.9%, o__Gemmatimonadales 10.1%	
o__Nitrospirales	99	3	o__Nitrospirales(c__Nitrospira) 67.68%, o__(c__Tissierellia) 29.29%, o__Nitrosomonadales(c__Betaproteobacteria) 3.03%	
o__Spirochaetales	97	2	o__Spirochaetales 90.72%, o__(c__Tissierellia) 9.28%	
o__UBA1406	93	1	o__(c__Tissierellia) 100.0%	
o__Myxococcales	93	2	o__Myxococcales(c__Deltaproteobacteria) 82.8%, o__(c__Tissierellia) 17.2%	
o__UBA6257	91	1	o__(c__Tissierellia) 100.0%	
o__Coxiellales	91	2	o__Legionellales 86.81%, o__(c__Tissierellia) 13.19%	
o__Exiguobacterales	90	1	o__Bacillales 100.0%	
o__SG8-24	90	1	o__(c__Tissierellia) 100.0%	
o__Brevibacillales	89	1	o__Bacillales 100.0%	
o__Acidaminococcales	86	4	o__Acidaminococcales 84.88%, o__Selenomonadales 12.79%, o__Lactobacillales(c__Bacilli) 1.16%, o__(c__Tissierellia) 1.16%	
o__Dehalococcoidales	86	2	o__Dehalococcoidales 53.49%, o__(c__Tissierellia) 46.51%	
o__Dormibacterales	84	1	o__(c__Tissierellia) 100.0%	
o__PS1	81	2	o__(c__Tissierellia) 96.3%, o__Thiotrichales 3.7%	
o__Thermodesulfovibrionales	81	2	o__(c__Tissierellia) 53.09%, o__Nitrospirales(c__Nitrospira) 46.91%	
o__Desulfobulbales	80	2	o__Desulfobacterales(c__Deltaproteobacteria) 83.75%, o__(c__Tissierellia) 16.25%	
o__SAR86	79	1	o__(c__Tissierellia) 100.0%	
o__Thermotogales	78	2	o__Thermotogales 98.72%, o__(c__Tissierellia) 1.28%	
o__Bryobacterales	78	3	o__Bryobacterales(c__Acidobacteriia) 87.18%, o__(c__Tissierellia) 11.54%, o__Acidobacteriales(c__Acidobacteriia) 1.28%	
o__Bacteriovoracales	78	3	o__Bacteriovoracales(c__Oligoflexia) 67.95%, o__Bdellovibrionales(c__Oligoflexia) 25.64%, o__(c__Tissierellia) 6.41%	
o__DTU022	77	2	o__Clostridiales(c__Clostridia) 94.81%, o__(c__Tissierellia) 5.19%	
o__Fibrobacterales	75	3	o__Fibrobacterales 89.33%, o__(c__Tissierellia) 9.33%, o__Fibromonadales 1.33%	
o__Nitrosococcales	75	3	o__Thiotrichales 81.33%, o__Chromatiales 10.67%, o__(c__Tissierellia) 8.0%	
